Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 15:25:25,wlp3s0,2.00,1.00,0.12,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:25:26,enp0s31f6,2294.00,928.00,3384.86,63.50,0.00,0.00,0.00,27.73
2018-09-07 15:25:26,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:26,wlp3s0,4.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:27,enp0s31f6,2281.00,920.00,3371.29,62.95,0.00,0.00,0.00,27.62
2018-09-07 15:25:27,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:27,wlp3s0,3.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:28,enp0s31f6,2402.00,967.00,3553.82,66.13,0.00,0.00,0.00,29.11
2018-09-07 15:25:28,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:28,wlp3s0,1.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:29,enp0s31f6,2395.00,958.00,3543.44,65.52,0.00,0.00,0.00,29.03
2018-09-07 15:25:29,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:29,wlp3s0,8.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:30,enp0s31f6,2174.00,882.00,3213.50,60.36,0.00,0.00,0.00,26.33
2018-09-07 15:25:30,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:30,wlp3s0,2.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:31,enp0s31f6,2409.00,974.00,3556.95,66.65,0.00,0.00,0.00,29.14
2018-09-07 15:25:31,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:31,wlp3s0,7.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:32,enp0s31f6,2405.00,974.00,3556.52,66.64,0.00,0.00,0.00,29.14
2018-09-07 15:25:32,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:32,wlp3s0,3.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:33,enp0s31f6,2260.00,911.00,3343.31,62.31,0.00,0.00,0.00,27.39
2018-09-07 15:25:33,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:33,wlp3s0,9.00,1.00,1.21,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:25:34,enp0s31f6,2306.00,949.00,3410.92,64.91,0.00,0.00,0.00,27.94
2018-09-07 15:25:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:34,wlp3s0,4.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:35,enp0s31f6,2402.00,962.00,3553.82,65.79,0.00,0.00,0.00,29.11
2018-09-07 15:25:35,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:35,wlp3s0,6.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:36,enp0s31f6,2370.00,949.00,3506.38,64.91,0.00,0.00,0.00,28.72
2018-09-07 15:25:36,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:36,wlp3s0,4.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:37,enp0s31f6,2197.00,883.00,3248.76,60.41,0.00,0.00,0.00,26.61
2018-09-07 15:25:37,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:37,wlp3s0,4.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:38,enp0s31f6,2403.00,966.00,3554.72,66.07,0.00,0.00,0.00,29.12
2018-09-07 15:25:38,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:38,wlp3s0,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:39,enp0s31f6,2404.00,971.00,3555.62,66.42,0.00,0.00,0.00,29.13
2018-09-07 15:25:39,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:39,wlp3s0,5.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:40,enp0s31f6,2232.00,895.00,3302.38,61.27,0.00,0.00,0.00,27.05
2018-09-07 15:25:40,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:40,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:41,enp0s31f6,2334.00,938.00,3451.01,64.08,0.00,0.00,0.00,28.27
2018-09-07 15:25:41,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:41,wlp3s0,7.00,1.00,0.59,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:25:42,enp0s31f6,2401.00,966.00,3552.91,66.05,0.00,0.00,0.00,29.11
2018-09-07 15:25:42,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:42,wlp3s0,3.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:43,enp0s31f6,2343.00,943.00,3465.77,64.51,0.00,0.00,0.00,28.39
2018-09-07 15:25:43,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:43,wlp3s0,1.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:44,enp0s31f6,2224.00,896.00,3289.37,61.29,0.00,0.00,0.00,26.95
2018-09-07 15:25:44,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:44,wlp3s0,8.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:45,enp0s31f6,2405.00,977.00,3556.52,66.85,0.00,0.00,0.00,29.14
2018-09-07 15:25:45,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:45,wlp3s0,13.00,0.00,2.84,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:46,enp0s31f6,2405.00,971.00,3556.52,66.44,0.00,0.00,0.00,29.14
2018-09-07 15:25:46,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:46,wlp3s0,14.00,0.00,2.42,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:47,enp0s31f6,2207.00,891.00,3264.16,60.96,0.00,0.00,0.00,26.74
2018-09-07 15:25:47,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:47,wlp3s0,5.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:48,enp0s31f6,2132.00,871.00,3139.58,62.05,0.00,0.00,0.00,25.72
2018-09-07 15:25:48,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:48,wlp3s0,5.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:49,enp0s31f6,17.00,14.00,8.47,3.99,0.00,0.00,0.00,0.07
2018-09-07 15:25:49,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:49,wlp3s0,17.00,1.00,2.71,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:25:50,enp0s31f6,1924.00,789.00,2844.96,53.97,0.00,0.00,0.00,23.31
2018-09-07 15:25:50,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:50,wlp3s0,6.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:51,enp0s31f6,2404.00,967.00,3554.79,66.14,0.00,0.00,0.00,29.12
2018-09-07 15:25:51,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:51,wlp3s0,8.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:52,enp0s31f6,2259.00,909.00,3342.41,62.16,0.00,0.00,0.00,27.38
2018-09-07 15:25:52,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:52,wlp3s0,15.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:53,enp0s31f6,2308.00,963.00,3411.89,65.88,0.00,0.00,0.00,27.95
